,Municipio,Provincia,Comunidad Autónoma,Habitantes (2022),Carril Bici,Precios alquiler,Distancia a Madrid (km),Tiempo medio de viaje a Madrid en coche,Tiempo medio de viaje a Madrid en tren o autobús,Distancia a Barcelona (km),Tiempo medio de viaje a Barcelona en coche,Tiempo medio de viaje a Barcelona en tren o autobús,Aeropuerto Internacional más cercano,Número deconexiones delaeropuerto internacionalmás cercano,Distancia al aeropuerto internacional más cercano (km),Temperatura máxima media (ºC),Temperatura mínima media (ºC),Número de visitantes internacionales al año,Precio medio vivienda (EUR/m2),Patrimonio de la Humanidad,Ponderación calidad del aire,Horas de Sol mediasanuales
72,Rubí,Barcelona,Cataluña,79007.0,,11.4,611.0,362,228.0,24.0,,80.0,Josep TarradellasBarcelona-El Prat,170.0,28.8,29.0,2.0,,1787,No,417.0,2453
73,Sabadell,Barcelona,Cataluña,215760.0,78.8,10.6,623.0,371,195.0,26.0,,,Josep TarradellasBarcelona-El Prat,170.0,38.0,29.0,2.0,,1916,No,474.0,2453
74,Salamanca,Salamanca,Castilla y León,142412.0,31.5,8.6,214.0,136,100.0,832.0,488.0,679.0,Valladolid,6.0,127.0,30.0,0.0,701422.0,1752,Sí,470.0,3262
75,San Cristóbal de La Laguna,Santa Cruz de Tenerife,Santa Cruz de Tenerife,157815.0,2.7,8.0,1960.0,2520,,2434.0,,,Tenerife Norte-La Laguna,24.0,3.3,24.0,12.0,,1869,Sí,,3098
76,San Fernando,Cádiz,Andalucía,94120.0,21.2,7.7,649.0,239,261.0,1111.0,653.0,,Jerez,16.0,45.3,29.0,8.0,,1543,No,397.0,3316
77,San Sebastián,Gipuzkoa,País Vasco,187849.0,37.4,15.7,457.0,273,344.0,565.0,340.0,515.0,Bilbao,46.0,99.0,25.0,6.0,,5191,No,437.0,1906
78,San Sebastián de los Reyes,Madrid,Madrid,91083.0,33.7,11.7,30.0,31,,612.0,348.0,224.0,Adolfo Suárez Madrid-Barajas,174.0,10.5,33.0,0.0,,2347,No,,2691
79,Sant Boi de Llobregat,Barcelona,Cataluña,83371.0,,11.3,618.0,364,190.0,16.0,,,Josep TarradellasBarcelona-El Prat,170.0,10.1,29.0,5.0,,1787,No,,2453
80,Sant Cugat del Vallès,Barcelona,Cataluña,95725.0,52.0,14.2,614.0,368,222.0,19.0,,,Josep TarradellasBarcelona-El Prat,170.0,25.6,29.0,3.0,,3513,No,445.0,2453
81,Santa Coloma de Gramenet,Barcelona,Cataluña,117981.0,2.5,12.5,627.0,370,190.0,9.0,,,Josep TarradellasBarcelona-El Prat,170.0,23.2,29.0,4.0,,2155,No,475.0,2453
